1596889167.789321200 [9.859026,89.373131,1.000000,6.613786]	 [9.628376,89.012962,1.000000,7.323032]	 [5.332209,88.752312,1.000000,8.723701]	 [8.095034,91.208527,1.060444,5.536886]	
1596889168.812832282 [8.311256,88.859558,1.000000,7.813193]	 [6.689332,89.484901,1.000000,7.763825]	 [7.769255,88.777069,1.000000,8.090688]	 [10.253177,91.735390,1.000000,4.361142]	
1596889169.836828180 [8.401015,87.241562,1.000000,9.634283]	 [10.783393,85.104744,1.000000,10.960189]	 [7.491291,89.511070,1.000000,7.518820]	 [7.177126,91.979568,1.000000,5.215164]	
1596889170.859012054 [18.813423,75.768379,5.055209,5.894801]	 [8.462389,79.012466,3.505252,13.395597]	 [17.859192,75.612236,1.000000,8.978424]	 [5.439222,89.186996,1.353911,7.019022]	
1596889171.881597009 [28.095089,51.404121,3.405217,16.295332]	 [10.697515,71.081001,2.232138,17.468330]	 [16.560295,70.266579,1.469441,16.421440]	 [10.079474,77.764755,1.246868,14.604723]	
1596889172.905856666 [7.546159,83.757507,1.000000,12.792869]	 [10.998051,86.822258,1.000000,8.925206]	 [17.301836,83.537987,1.000000,9.748891]	 [7.816310,86.145874,1.000000,10.216075]	
1596889173.929674948 [11.479012,85.862556,1.000000,10.139585]	 [12.237716,87.890099,1.000000,7.980422]	 [10.063241,87.140152,1.000000,8.921302]	 [8.916924,88.163818,1.000000,8.525528]	
1596889174.952967396 [15.792639,80.888519,1.000000,12.058383]	 [12.779566,77.211334,1.000000,17.553444]	 [16.831144,74.166359,1.225891,17.938217]	 [14.549973,78.083549,1.262026,15.092746]	
1596889175.976721888 [10.986098,89.453751,1.000000,6.629417]	 [7.221924,89.999825,1.048026,7.132946]	 [6.629773,89.467033,1.000000,7.848445]	 [5.157579,93.568047,1.000000,4.157899]	
1596889177.000776279 [9.834417,85.188560,1.154634,9.646945]	 [14.378892,82.626450,1.000000,9.480846]	 [10.468266,79.431335,1.055986,15.922948]	 [11.972914,84.409309,1.000000,10.835546]	
